Gene	Length	Strand	GC
nuoJ	554	reverse	53.87
nuoK	302	reverse	54.79
nuoL	1841	reverse	57.17
nuoN	1457	reverse	57.2
sgrR	1655	reverse	54.89
secG	332	reverse	49.55
chpB	350	forward	53.85
pgeF	731	reverse	54.78
rluD	980	reverse	52.8
efp	566	forward	49.38
tktB	2003	forward	54.64
feoA	227	forward	48.68
feoB	2321	forward	54.74
yeiR	986	forward	54.51
yeiE	881	reverse	53.74
hofB	1385	reverse	53.46
ppdD	440	reverse	53.06
norR	1514	reverse	56.83
ydcF	800	forward	51.19
nlpD	1139	reverse	52.46
alpA	212	forward	46.95
hofQ	1238	reverse	54.48
prfC	1589	forward	54.03
yjjG	677	forward	53.54
acrR	647	forward	45.37
ompX	515	forward	51.36
ychJ	458	reverse	46.41
rssA	905	forward	50.22
rssB	1013	forward	48.62
yggI	497	forward	55.22
lrhA	938	reverse	49.73
hisJ	782	reverse	48.79
hisQ	686	reverse	52.55
treB	1421	reverse	54.36
lgt	875	reverse	52.85
uraA	1289	reverse	51.94
hscA	1850	reverse	57.7
hscB	515	reverse	52.33
iscA	323	reverse	51.54
ucpA	791	reverse	55.3
rhtA	887	reverse	53.49
mdtD	1415	forward	55.51
nlpE	710	forward	52.32
yaeF	824	reverse	49.33
qseG	713	reverse	54.2
ydhB	932	reverse	53.7
ydhC	1211	forward	53.38
sdaC	1289	forward	52.33
napD	263	reverse	54.55
pgm	1640	forward	55.27
rapZ	854	forward	52.16
npr	272	forward	49.08
galP	1394	forward	53.12
cobS	743	reverse	53.49
cobT	1079	reverse	51.3
idnK	563	forward	43.44
narU	1388	reverse	48.96
sieB	488	forward	37.22
kilR	221	reverse	41.89
rdgC	911	reverse	51.54
ppnP	284	forward	51.93
eaeH	887	forward	48.31
gatR	0		46.38
rsmB	1289	forward	49.69
ytjC	647	forward	56.17
mukF	1322	forward	52.83
elyC	779	reverse	52.18
cmoM	785	forward	51.53
brnQ	1319	forward	55.61
ccmD	209	reverse	57.14
yjjI	1550	reverse	53.13
hinT	359	forward	50.56
gspM	461	forward	47.84
yjdC	575	reverse	53.12
cutA	338	reverse	50.15
dsbD	1697	reverse	54.42
cspE	209	forward	43.81
pagP	560	forward	46.88
grxD	347	reverse	52.59
yajG	578	reverse	51.3
ampG	1475	reverse	53.66
ptsP	2246	reverse	53.89
hemF	899	forward	54.67
eutR	1052	reverse	53.37
glnK	338	forward	50.74
nadK	878	forward	49.94
cbpA	920	reverse	52.88
cbpM	305	reverse	54.25
torD	599	forward	53.33
yccE	1256	forward	34.13
seqA	545	forward	49.63
chbG	749	reverse	51.47
yegD	1352	forward	56.1
ygaC	344	reverse	46.96
treR	947	reverse	53.8
cspB	215	reverse	35.19
cspC	209	reverse	46.67
cspF	212	forward	48.36
rlmA	809	reverse	51.36
ybeM	787	forward	54.19
crcB	383	reverse	48.44
waaF	1046	forward	53.68
panZ	383	forward	56.51
yhhL	269	forward	45.56
yhhM	359	reverse	51.11
yhhN	626	forward	56.62
zntA	2198	forward	58.25
tusA	245	reverse	53.66
yhhQ	665	forward	50.75
yhhS	1217	reverse	56.73
yhhT	1049	forward	51.43
acpT	587	forward	56.46
rbbA	2735	reverse	56.73
yhiI	1067	reverse	58.24
yhiJ	1622	reverse	37.46
yhiL	1606	reverse	34.91
yhiN	1202	reverse	55.11
pitA	1499	forward	54.07
uspB	335	reverse	47.02
dtpB	1469	forward	51.84
rsmJ	752	reverse	58.17
rlmJ	842	forward	54.45
arsR	353	forward	50.85
arsB	1289	forward	53.95
arsC	425	forward	51.88
yhiS	0		33.91
mdtE	1157	forward	54.58
mdtF	3113	forward	53.02
gadW	728	reverse	41.84
gadX	824	reverse	40.97
ccp	1397	reverse	48.43
treF	1649	forward	53.94
yhjB	602	reverse	47.76
yhjC	899	forward	53.33
yhjD	1013	forward	52.66
yhjE	1322	forward	55.63
yhjG	2060	reverse	53.23
pdeH	767	reverse	52.73
kdgK	929	forward	57.1
yhjJ	1496	reverse	53.44
pdeK	1988	reverse	52.54
bcsC	3473	reverse	57.11
bcsZ	1106	reverse	54.74
bcsB	2339	reverse	54.91
bcsA	2618	reverse	55.36
bcsQ	752	reverse	53.92
yhjR	188	reverse	46.03
bcsE	1571	forward	48.85
bcsF	191	forward	48.44
bcsG	1679	forward	52.68
yhjV	1271	forward	45.44
eptB	1691	reverse	50.41
yhjX	1208	reverse	51.2
yhjY	698	reverse	50.21
yiaC	440	forward	52.15
yiaD	659	forward	57.88
ghrB	974	forward	52
yiaF	710	reverse	50.49
wecH	995	forward	46.79
xylG	1541	forward	47.08
xylH	1181	forward	53.89
ysaA	473	reverse	53.59
yiaJ	848	reverse	52.18
yiaK	998	forward	53.05
yiaL	467	forward	45.3
yiaM	473	forward	44.09
yiaN	1277	forward	50.86
yiaO	986	forward	51.17
lyxK	1496	forward	57.45
sgbH	662	forward	59.43
sgbU	860	forward	55.75
sgbE	695	forward	57.33
yiaT	740	reverse	48.72
yiaU	974	forward	47.69
yiaV	1136	reverse	50.66
yiaW	323	reverse	46.6
aldB	1538	reverse	54.78
yiaY	1151	reverse	50.52
grxC	251	reverse	52.38
yibN	431	reverse	49.54
gpmM	1544	forward	53.46
envC	1259	forward	57.06
yibQ	959	forward	52.71
rutR	638	forward	51.33
tmk	641	forward	54.05
ycfH	797	forward	50.88
sapD	992	reverse	51.36
sapF	806	reverse	51.18
yfhH	848	forward	51.71
yjtD	686	forward	49.78
pepB	1283	reverse	56.85
iscX	200	reverse	50.25
coaE	620	reverse	52.66
zapD	743	reverse	51.48
yacG	197	reverse	51.52
yacH	1853	reverse	53.88
acnB	2597	forward	55.89
cueO	1550	forward	54.67
can	662	reverse	50.68
yadG	926	forward	49.62
yadH	770	forward	50.71
yadI	440	forward	49.21
rpnE	899	forward	48.33
yadK	596	reverse	41.37
yadL	605	reverse	42.57
yadM	569	reverse	42.81
yadN	584	reverse	44.79
hrpB	2429	forward	56.58
thpR	530	reverse	55.93
clcA	1421	forward	53.87
erpA	344	forward	50.72
yadS	623	reverse	53.69
btuF	800	reverse	52.93
cdaR	1157	forward	52.85
yaeH	386	reverse	44.44
yaeI	812	reverse	51.41
yagA	1154	reverse	62.08
yagB	350	reverse	51
afuC	1046	reverse	56.35
rseA	650	reverse	52.23
yjjJ	1331	forward	53.83
ettA	1667	reverse	54.74
pspF	977	reverse	51.74
ydfG	746	forward	50.6
tcyN	752	reverse	54.32
ppiC	281	reverse	51.77
arfB	422	forward	54.14
rtcR	1598	forward	55.78
fadK	1700	forward	49.85
ssuB	767	reverse	55.6
ybgD	566	reverse	46.74
yfaE	254	forward	56.08
kduD	761	reverse	51.97
menF	1295	reverse	53.4
ygiL	551	forward	43.66
intB	1190	forward	45.76
prkB	869	forward	53.22
rsmE	731	forward	53.14
cusA	3143	forward	55.69
znuB	785	forward	51.91
ydjE	1358	reverse	45.11
intE	1127	reverse	44.77
nlpI	884	reverse	48.25
ygdG	755	forward	52.78
ppnN	1364	forward	51.36
yhfG	167	reverse	51.19
ycaI	2264	forward	49.49
yfeH	998	forward	51.75
yecD	566	forward	53.09
yecE	818	forward	51.04
gntT	1316	forward	53.38
nrdF	959	forward	48.23
ybcF	893	forward	56.94
rcsD	2672	forward	49.38
glaR	662	forward	53.54
lhgD	1268	forward	57.68
sfmF	515	forward	50
ydiE	191	forward	50.52
dauA	1679	reverse	54.64
ttdT	1463	forward	55.26
msrB	413	reverse	48.55
ybgE	293	forward	49.66
dgcE	3317	forward	52.35
ycbF	710	forward	51.76
dhaM	1418	reverse	50.18
mdtK	1373	forward	52.98
rlmN	1154	reverse	52.99
chaB	230	forward	45.45
chaC	695	forward	54.74
ychN	353	reverse	51.69
ychO	1394	forward	50.54
cecR	671	reverse	54.17
iaaA	965	forward	56.52
aegA	1979	reverse	55.71
nudK	575	reverse	48.61
rfbD	899	reverse	46.56
rfbB	1085	reverse	43.65
gatA	452	reverse	42.6
gatB	284	reverse	41.75
gatC	1357	reverse	51.25
gatD	1040	reverse	48.8
gatY	854	reverse	53.1
ybiI	266	reverse	52.06
ybiJ	260	reverse	50.57
tauD	851	forward	54.46
prmC	833	forward	55.16
modA	773	forward	50.9
rhoL	101	forward	49.02
tomB	374	reverse	40.53
puuR	557	forward	50.9
ydiF	1595	forward	47.49
rluB	875	forward	53.77
ygiM	620	forward	52.66
rseP	1352	forward	50.92
menE	1355	reverse	56.05
menH	758	reverse	56.13
yjfF	995	forward	51.81
mpl	1373	forward	55.31
yfjD	1286	forward	51.13
yggL	326	reverse	48.62
ycfJ	539	forward	53.7
eamB	587	forward	51.19
yfiL	365	forward	45.63
ybcH	890	reverse	52.3
prmB	932	reverse	52.52
norW	1133	forward	54.06
ybaK	479	reverse	50.83
lplT	1193	reverse	55.53
alsB	935	reverse	48.5
adiC	1337	reverse	53.74
dtpC	1457	reverse	51.1
yjeM	1502	forward	47.11
ulaB	305	forward	50.65
ulaC	464	forward	53.98
cycA	1412	forward	52.58
ytfQ	956	forward	49.84
ytfR	1502	forward	55.56
ytfT	1025	forward	57.6
garD	1571	forward	52.86
mgtA	2696	forward	52.47
idnT	1319	reverse	50.61
yjhB	1217	forward	36.29
yjhF	1349	reverse	49.04
sgcA	431	reverse	54.4
sgcC	1313	reverse	51.75
sgcX	1121	reverse	52.41
gntP	1343	reverse	53.05
mdtM	1232	reverse	53.77
lgoT	1361	reverse	51.98
opgB	2291	reverse	52.01
yjjX	512	reverse	56.14
yacL	362	forward	52.07
fabF	1241	forward	53.3
caiE	590	reverse	54.99
rluA	659	reverse	53.94
yabP	650	forward	45.16
yabQ	158	forward	33.96
torR	692	reverse	52.38
ybaL	1676	reverse	55.46
yiaG	290	forward	43.99
dppB	1019	reverse	56.47
dppC	902	reverse	59.03
dppD	983	reverse	56.71
dppF	1004	reverse	56.12
gntK	527	reverse	49.62
gntR	995	reverse	54.42
gntU	1340	reverse	55.03
nudF	629	reverse	50.79
cas3	2666	reverse	44.69
mdaB	581	forward	50.52
ygiN	314	forward	50.48
qseC	1349	forward	53.04
gltJ	740	reverse	52.5
gltK	674	reverse	50.22
gltL	725	reverse	52.34
lpxH	722	reverse	54.5
grxB	647	reverse	49.07
yceK	227	forward	50.44
rarA	1343	forward	53.57
lapB	1169	forward	51.88
hcxA	1088	reverse	55.19
nudL	578	forward	54.92
ttdR	932	reverse	49.62
fldB	521	forward	51.34
ycaK	590	forward	42.81
yccJ	227	reverse	46.93
yggM	1007	reverse	44.54
yggN	719	reverse	52.5
ygbE	323	reverse	48.15
ybcI	521	reverse	53.07
yedI	917	reverse	53.05
yedJ	695	reverse	54.45
luxS	515	reverse	51.55
yddG	881	reverse	49.66
dxr	1196	forward	52.63
mug	506	reverse	53.65
ygjI	1433	forward	49.65
sstT	1244	forward	55.18
uxaA	1487	reverse	53.7
exuT	1298	forward	54.43
exuR	776	forward	50.58
cyuP	1331	reverse	50.6
garP	1334	reverse	51.31
agaA	503	forward	56.94
kbaY	860	forward	52.03
agaB	476	forward	44.03
agaC	803	forward	51.37
diaA	590	forward	50.25
yhbY	293	forward	48.64
mlaD	551	reverse	49.82
mlaE	782	reverse	55.17
mlaF	809	reverse	54.57
yrbG	977	forward	52.04
ybaM	161	reverse	48.15
yhdW	1024	forward	49.76
yhdX	1181	forward	50.25
yhdY	1103	forward	52.45
yhdZ	758	forward	47.04
ybjC	287	forward	50.35
ybaN	377	forward	52.12
yefM	251	reverse	48.41
cas2	284	reverse	46.32
yfaL	3752	reverse	51.37
ybeL	482	forward	52.59
abgT	1526	reverse	49.25
cpoB	791	forward	49.49
matP	452	forward	46.14
yfiM	323	forward	53.7
opgD	1655	forward	50.79
yebK	869	forward	48.97
yecF	224	forward	48
ydcH	224	forward	41.33
proQ	698	reverse	52.93
ampH	1157	reverse	55.35
yciN	251	reverse	47.22
ycjF	1061	forward	56.31
yajI	539	reverse	47.59
ybhC	1283	reverse	53.35
tusE	329	reverse	46.67
ycfK	629	forward	50.32
zapA	329	forward	46.67
ybcJ	212	reverse	54.93
dgcN	1226	forward	48.33
yfaH	206	forward	41.55
gss	1859	reverse	52.47
pitB	1499	reverse	51.93
yheS	1913	forward	55.33
frlA	1337	forward	54.63
feoC	236	forward	54.85
glk	965	reverse	51.55
tynA	2273	reverse	50.62
xapB	1256	reverse	48.05
dsdC	935	reverse	48.08
yqcE	1277	forward	49.69
ybaE	1700	reverse	52.97
mngA	1976	forward	54.58
mngB	2633	forward	49.35
cobU	545	reverse	50.55
aqpZ	695	reverse	52.3
emrY	1538	reverse	41.65
dctA	1286	reverse	51.67
dgoA	617	reverse	59.39
dgoK	878	reverse	54.15
dgoT	1292	reverse	52.98
glcB	2171	reverse	53.45
gpsA	1019	reverse	56.76
hpt	536	forward	50.65
kefB	1805	reverse	54.76
pta	2144	forward	55.52
uxuB	1460	forward	57.63
uxuR	773	forward	53.62
xylF	992	forward	44.01
xylR	1178	forward	48.77
nrdE	2144	forward	51.84
alaT	75	forward	63.16
alaU	75	reverse	63.16
alaV	75	forward	63.16
alaW	75	reverse	60.53
alaX	75	reverse	60.53
argQ	76	reverse	59.74
argU	76	forward	61.04
argV	76	reverse	59.74
argW	74	forward	49.33
argX	76	forward	67.53
argY	76	reverse	59.74
argZ	76	reverse	59.74
asnT	75	forward	52.63
asnU	75	forward	52.63
asnV	75	forward	52.63
aspT	76	forward	63.64
aspU	76	forward	63.64
aspV	76	forward	63.64
ffs	113	forward	64.04
glnU	74	reverse	57.33
glnV	74	reverse	58.67
glnW	74	reverse	57.33
glnX	74	reverse	58.67
gltT	75	forward	64.47
gltU	75	forward	64.47
gltV	75	forward	64.47
gltW	75	reverse	64.47
glyT	74	forward	57.33
glyU	73	reverse	56.76
glyV	75	forward	60.53
glyW	75	reverse	60.53
glyX	75	forward	60.53
glyY	75	forward	60.53
hisR	76	forward	53.25
ileT	76	forward	57.14
ileU	76	reverse	57.14
ileV	76	forward	57.14
ileX	75	forward	59.21
leuP	86	reverse	59.77
leuQ	86	reverse	60.92
leuT	86	forward	60.92
leuU	86	reverse	57.47
leuV	86	reverse	60.92
leuW	84	reverse	60
leuX	84	forward	54.12
leuZ	86	reverse	59.77
lysT	75	forward	50
lysV	75	forward	50
lysW	75	forward	50
metT	76	reverse	51.95
metU	76	reverse	51.95
metV	76	forward	66.23
metY	76	reverse	64.94
metZ	76	forward	66.23
micF	92	forward	35.48
pheU	75	reverse	59.21
pheV	75	forward	59.21
proK	76	reverse	61.04
proL	76	forward	66.23
proM	76	forward	62.34
rnpB	376	reverse	61.8
rrfA	119	forward	62.5
rrfB	119	forward	63.33
rrfC	119	forward	64.17
rrfD	119	reverse	64.17
rrfE	119	forward	63.33
rrfG	119	reverse	64.17
rrfH	119	forward	64.17
rrlA	2904	forward	53.25
rrlB	2903	forward	53.41
rrlC	2903	forward	53.31
rrlD	2903	reverse	53.34
rrlE	2903	forward	53.41
rrlG	2903	reverse	53.41
rrlH	2903	forward	53.24
rrsA	1541	forward	54.35
rrsB	1541	forward	54.41
rrsC	1541	forward	54.41
rrsD	1541	reverse	54.54
rrsE	1541	forward	54.41
rrsG	1541	reverse	54.6
rrsH	1541	forward	54.35
rrfF	119	reverse	61.67
selC	94	forward	64.21
serT	87	reverse	60.23
serU	89	reverse	63.33
serV	92	reverse	64.52
serW	87	reverse	61.36
serX	87	reverse	61.36
spf	108	forward	42.2
ssrS	182	forward	55.19
ssrA	362	forward	52.89
thrT	75	forward	53.95
thrU	75	forward	51.32
thrV	75	reverse	56.58
thrW	75	forward	51.32
trpT	75	forward	59.21
tyrT	84	reverse	58.82
tyrU	84	forward	58.82
tyrV	84	reverse	58.82
valT	75	forward	61.84
valU	75	forward	61.84
valV	76	forward	53.25
valW	76	forward	61.04
valX	75	forward	61.84
valY	75	forward	61.84
dicF	52	forward	54.72
oxyS	109	reverse	49.09
metW	76	forward	66.23
rplU	311	reverse	48.4
rpmA	257	reverse	50
acpP	236	forward	48.1
rmf	167	forward	54.17
nfsB	653	reverse	51.53
eutB	1361	reverse	55.65
eutC	887	reverse	56.64
cybC	367	forward	49.46
gadA	1400	reverse	53.96
frmA	1109	reverse	53.69
folP	848	reverse	51.59
ecnA	125	forward	53.97
glcF	1223	reverse	55.56
csrB	368	reverse	51.49
sraA	56	reverse	40.35
sraB	168	forward	38.46
rprA	104	forward	39.05
ryeA	248	forward	45.78
micA	71	forward	43.06
gcvB	204	forward	42.93
omrA	87	reverse	50
sraF	187	forward	49.47
sraG	215	forward	48.61
arcZ	120	forward	52.07
ryhB	89	reverse	53.33
glmZ	171	forward	47.67
csrC	244	forward	48.57
ryjA	139	reverse	52.14
rydB	67	reverse	52.94
cyaR	86	forward	42.53
ryfA	303	forward	52.63
rybB	80	reverse	48.15
rybA	339	reverse	46.76
omrB	81	reverse	47.56
sdsR	103	reverse	50
sibA	143	forward	49.31
sibB	135	forward	54.41
sibC	140	forward	47.52
yncL	95	reverse	33.33
ypfM	59	reverse	38.33
yciY	173	forward	50.57
mgtS	95	forward	38.54
tpke11	87	forward	47.73
tp2	160	reverse	52.8
tff	135	forward	50.74
C0067	124	forward	29.6
C0293	72	forward	58.9
C0299	78	forward	43.04
mcaS	92	reverse	51.61
ynaL	173	forward	53.45
micC	108	forward	38.53
C0362	385	forward	45.6
C0465	77	forward	46.15
isrB	159	reverse	43.12
isrC	194	forward	42.56
tpke70	435	reverse	49.77
C0614	86	reverse	36.78
IS128	208	forward	35.41
glmY	183	reverse	50
C0664	112	forward	57.52
C0719	221	forward	43.69
sibD	144	reverse	48.97
gadY	104	forward	49.52
ldrD	107	reverse	52.78
rdlD	63	forward	54.69
ydaE	170	reverse	36.84
yoeB	254	reverse	44.31
alaB	0		0
sroA	92	reverse	59.14
chiX	83	forward	36.9
sroC	162	reverse	50.31
sroD	85	reverse	51.16
sroE	91	reverse	50
sroG	148	reverse	57.72
sroH	160	reverse	45.34
pdxB	1136	reverse	53.03
yjdP	329	forward	56.06
blr	125	forward	42.86
ecnB	146	forward	48.3
hokC	152	reverse	52.94
sokC	54	forward	47.27
hokE	152	forward	47.71
ldrA	107	reverse	55.56
rdlA	66	forward	52.24
ldrB	107	reverse	58.33
rdlB	65	forward	50
ldrC	107	reverse	55.56
rdlC	67	forward	48.53
rttR	170	reverse	57.89
hokB	149	reverse	53.33
sokB	55	forward	51.79
hokA	152	reverse	35.29
torI	200	forward	43.78
gnsA	173	forward	39.66
sgrS	226	forward	47.58
tisA	113	forward	54.39
tisB	89	forward	42.22
dinQ	83	reverse	46.43
thiS	200	reverse	55.72
ackB	0		0
yajL	590	reverse	56.51
sapC	890	reverse	56.9
sapB	965	reverse	51.45
sapA	1643	reverse	54.26
dgd	0		0
flgA	659	reverse	52.27
flgB	416	forward	53.48
flgC	404	forward	52.84
fadH	2018	forward	57.21
flgD	695	forward	54.6
flgE	1208	forward	51.53
flgF	755	forward	59.13
flgG	782	forward	53.77
flgH	698	forward	53.51
flgI	1097	forward	54.19
flgJ	941	forward	54.67
flgM	293	reverse	52.72
flhA	2078	reverse	54.88
yaeP	200	reverse	50.75
fliI	1373	forward	58.59
fliJ	443	forward	51.58
fliK	1127	forward	54.88
nanT	1490	reverse	55.06
bglA	1439	forward	50.76
maa	551	reverse	48.37
ldhA	989	reverse	50.1
yaaX	296	forward	53.87
yaaW	713	reverse	50.84
insL-1	1112	forward	51.93
	308	reverse	52.1
insB-1	503	reverse	54.56
insA-1	275	reverse	52.9
yaaY	218	forward	48.86
caiF	395	forward	45.96
b0100	134	reverse	54.81
b0105	107	reverse	51.85
b0165	131	reverse	53.79
uppS	761	forward	50
bamA	2432	forward	50.68
ldcC	2141	forward	50.89
yaeR	389	forward	50.51
tilS	1298	forward	58.04
rof	254	reverse	47.84
yaeQ	545	forward	52.38
gloB	755	reverse	40.21
yafS	722	forward	49.38
yafT	785	forward	42.75
yafU	338	reverse	39.23
yafV	770	reverse	54.73
ivy	473	forward	50
fadE	2444	reverse	56.89
gmhA	578	forward	50.95
yafJ	767	forward	53.65
ldtF	740	reverse	48.45
yafQ	278	reverse	39.43
dinJ	260	reverse	46.74
yafL	749	forward	52.4
rayT	497	forward	44.78
lfhA	1712	reverse	58.03
lafU	755	forward	52.78
dinB	1055	forward	54.17
yafN	293	forward	42.18
yafO	398	forward	43.61
yafP	452	forward	43.27
ykfJ	266	forward	52.06
ykfI	341	reverse	51.17
yafW	317	reverse	56.92
ykfG	476	reverse	58.49
yafX	458	reverse	55.56
ykfF	239	reverse	58.75
ykfB	467	reverse	52.56
yafY	443	reverse	50.68
yafZ	821	reverse	57.79
ykfA	863	reverse	56.83
perR	893	reverse	47.99
insN	0		51.59
insI-1	1151	forward	45.83
ykfC	1145	forward	54.54
insH-1	1016	reverse	54.67
mmuP	1403	forward	54.84
mmuM	932	forward	60.34
afuB	348	reverse	56.45
insB-2	503	reverse	55.16
insA-2	275	reverse	53.26
yagE	908	forward	61.61
yagF	1967	forward	66.72
yagG	1382	forward	62.47
yagH	1610	forward	64.37
xynR	758	reverse	63.24
insB-3	503	reverse	55.16
insA-3	275	reverse	53.26
yagJ	731	forward	48.91
yagK	626	reverse	44.82
yagL	698	reverse	37.34
yagM	854	reverse	36.26
yagN	440	reverse	43.54
intF	1400	reverse	44.33
yagP	410	reverse	52.55
paoD	956	reverse	59.98
paoC	2198	reverse	59.44
paoB	956	reverse	60.71
paoA	689	reverse	54.78
yagU	614	forward	45.2
ykgJ	329	reverse	50.3
ecpE	710	reverse	53.02
ecpD	1643	reverse	51.58
ecpC	2525	reverse	55.27
ecpB	668	reverse	54.86
ecpA	587	reverse	52.89
ecpR	590	reverse	39.09
ykgL	227	forward	43.86
ykgM	263	reverse	45.83
insE-1	299	forward	50
insF-1	866	forward	55.13
ykgA	686	reverse	43.09
rclC	593	reverse	44.95
rclB	236	reverse	35.44
rclA	1325	reverse	45.55
rclR	854	forward	51.23
ykgE	719	forward	50.56
ykgF	1427	forward	50.21
ykgG	695	forward	52.16
b0309	212	reverse	42.72
ykgH	668	reverse	36.92
yahB	932	reverse	49.3
yahC	497	reverse	52.81
yahD	605	forward	45.38
yahE	863	forward	47.11
yahF	1547	forward	55.56
yahG	1418	forward	58.35
yahI	950	forward	56.15
yahJ	1382	forward	56.25
yahK	1049	forward	53.33
yahL	815	forward	38.85
yahM	245	forward	46.75
yahN	671	reverse	49.4
yahO	275	forward	38.77
prpR	1586	reverse	55.2
prpB	890	forward	56.12
prpC	1169	forward	55.64
prpD	1451	forward	56.96
prpE	1886	forward	58.4
mhpR	833	reverse	55.76
mhpE	1013	forward	56.51
mhpT	1211	forward	57.43
yaiL	539	forward	48.15
frmB	833	reverse	48.56
frmR	275	reverse	53.26
yaiO	773	reverse	50.13
insC-1	365	forward	53.01
insD-1	905	forward	55.08
yaiX	0		45.21
yaiP	1196	reverse	49.96
yaiS	557	reverse	43.37
tauA	962	forward	56.28
tauB	767	forward	55.99
tauC	827	forward	57.25
ykiB	218	reverse	27.85
yaiT	0		45.3
insF-2	866	reverse	55.13
insE-2	299	reverse	50
iprA	623	forward	39.42
yaiW	1094	forward	53.42
yaiY	308	reverse	52.43
yaiZ	212	forward	48.83
yaiI	458	forward	56.43
ykiA	341	forward	47.37
proY	1373	forward	52.91
thiL	977	forward	54.4
yajO	974	reverse	53.03
dxs	1862	reverse	54.27
thiI	1448	forward	52.17
panE	911	reverse	51.86
yajQ	491	forward	50
yajR	1364	reverse	52.6
ppiD	1871	forward	52.35
ybaV	371	forward	54.84
fadM	398	forward	46.12
queC	695	reverse	51.72
cof	818	forward	51.4
decR	458	forward	51.85
mdlA	1772	forward	54.03
ybaY	572	forward	53.93
atl	389	reverse	54.1
pdeB	1550	reverse	48.03
ylaC	470	reverse	47.13
mscK	3362	forward	51.89
fsr	1220	reverse	52.42
ybaP	794	reverse	54.09
ybaQ	341	forward	44.74
copA	2504	reverse	58.28
glsA	932	forward	53.16
ybaT	1292	forward	53.29
cueR	407	forward	58.58
ybbJ	458	reverse	57.3
qmcA	917	reverse	52.83
fetA	677	forward	45.43
fetB	779	forward	46.15
cnoX	854	reverse	55.91
ybbO	809	reverse	54.32
ybbP	2414	forward	57.6
ylbH	710	forward	44.59
ylbG	371	reverse	50.27
allS	926	reverse	52.43
allA	482	forward	51.14
allR	815	forward	52.57
hyi	776	forward	44.66
glxR	878	forward	50.74
ybbW	1454	forward	47.01
allB	1361	forward	51.62
ybbY	1301	forward	51.23
glxK	1145	forward	55.58
allE	785	reverse	46.18
allC	1235	reverse	51.38
allD	1049	reverse	52.38
fdrA	1667	forward	55.58
ylbE	1259	forward	57.22
ylbF	815	forward	56.86
sfmA	542	forward	44.57
sfmC	692	forward	42.57
sfmD	2603	forward	47.81
sfmH	983	forward	45.53
	560	forward	52.58
exoD	263	reverse	49.62
insE-3	299	forward	50
insF-3	866	forward	55.13
renD	0		50
ybcK	1526	forward	35.56
ybcL	551	forward	42.39
ybcM	797	forward	36.22
ybcN	455	forward	50.44
ninE	170	forward	48.54
ybcO	290	forward	53.26
rusA	362	forward	53.17
ybcQ	383	forward	42.97
insH-2	1016	reverse	54.67
essD	215	forward	47.69
rrrD	497	forward	47.59
rzpD	461	forward	51.3
borD	293	reverse	41.5
ybcV	410	reverse	31.63
ybcW	206	forward	39.61
tfaD	563	forward	48.94
ybcY	654	reverse	41.22
tfaX	185	forward	49.46
cusS	1442	reverse	52.04
cusR	683	reverse	53.8
cusC	1373	forward	51.24
cusF	332	forward	45.35
cusB	1223	forward	55.72
ybdG	1247	reverse	47.52
ybdF	368	reverse	47.15
ybdJ	248	reverse	50.6
ybdK	1118	reverse	51.92
insL-2	1112	forward	51.93
ybdL	1160	forward	53.83
ybdM	629	reverse	46.83
ybdN	1220	reverse	47.58
ybdO	902	reverse	38.65
dsbG	746	reverse	46.85
uspG	428	reverse	49.88
ybdR	1238	forward	50.12
	461	forward	51.73
rnk	410	reverse	54.74
citT	1463	reverse	50.61
citG	878	reverse	54.72
citX	551	reverse	58.33
citF	1532	reverse	56.36
citE	908	reverse	57.54
citD	296	reverse	55.89
citC	1058	reverse	50.9
dpiB	1658	forward	50.09
dpiA	680	forward	50.51
dcuC	1385	reverse	50.94
cobC	611	reverse	51.14
nadD	641	reverse	50
ybeQ	977	reverse	47.03
ybeR	707	forward	45.76
djlB	1427	forward	47.48
ybeT	554	reverse	42.7
ybeU	707	forward	47.6
djlC	1451	forward	47.73
hscC	1670	reverse	50.03
rihA	935	reverse	50.85
gltI	908	reverse	48.73
insH-3	1016	reverse	54.67
ybeX	878	reverse	51.54
ybeY	467	reverse	51.71
ybeZ	1040	reverse	54.37
miaB	1424	reverse	54.18
ubiF	1175	forward	57.14
chiP	1406	forward	51.24
chiQ	326	forward	48.01
ybfP	494	forward	45.45
ybfO	1433	forward	54.6
ybfL	1061	forward	42
dtpD	1481	reverse	52.43
ybgI	743	forward	53.49
pxpB	656	forward	57.84
pxpC	932	forward	55.52
pxpA	734	forward	57.69
nei	791	forward	52.4
abrB	1046	reverse	56.16
ybgO	1061	reverse	44.92
ybgP	728	reverse	47.74
ybgQ	2447	reverse	49.96
b0725	260	forward	49.04
valZ	75	forward	61.84
lysY	75	forward	50
lysZ	75	forward	50
lysQ	75	forward	50
zitB	941	reverse	53.08
ybgS	380	reverse	50.39
modE	788	reverse	52.6
acrZ	149	forward	41.33
pgl	995	forward	55.12
ybhD	953	reverse	44.76
ybhH	1052	forward	48.81
ybhI	1433	forward	49.79
ybhJ	2261	forward	51.46
ybhK	908	reverse	51.38
ybhL	704	forward	48.65
ybhM	713	forward	42.3
ybhN	956	reverse	52.35
clsB	1241	reverse	54.43
ybhP	761	reverse	55.51
ybhQ	410	forward	54.5
ybhR	1106	reverse	52.3
ybhS	1133	reverse	55.11
ybhF	1736	reverse	55.56
